City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,Month,DayofWeek,Is_Weekend,Season,PM2.5_to_PM10_Ratio
Ahmedabad,2015-01-01,48.57,95.68,0.92,18.22,17.15,15.85,0.92,27.64,133.36,0.0,0.02,118.0,Moderate,1,3,0,Winter,0.5076295933567141
Ahmedabad,2015-01-02,48.57,95.68,0.97,15.69,16.46,15.85,0.97,24.55,34.06,3.68,5.5,118.0,Moderate,1,4,0,Winter,0.5076295933567141
Ahmedabad,2015-01-03,48.57,95.68,17.4,19.3,29.7,15.85,17.4,29.07,30.7,6.8,16.4,118.0,Moderate,1,5,1,Winter,0.5076295933567141
Ahmedabad,2015-01-04,48.57,95.68,1.7,18.48,17.97,15.85,1.7,18.59,36.08,4.43,10.14,118.0,Moderate,1,6,1,Winter,0.5076295933567141
Ahmedabad,2015-01-05,48.57,95.68,22.1,21.42,37.76,15.85,22.1,39.33,39.31,7.01,18.89,118.0,Moderate,1,0,0,Winter,0.5076295933567141
Ahmedabad,2015-01-06,48.57,95.68,45.41,38.48,81.5,15.85,45.41,45.76,46.51,5.42,10.83,118.0,Moderate,1,1,0,Winter,0.5076295933567141
Ahmedabad,2015-01-07,48.57,95.68,112.16,40.62,130.77,15.85,112.16,32.28,33.47,0.0,0.0,118.0,Moderate,1,2,0,Winter,0.5076295933567141
Ahmedabad,2015-01-08,48.57,95.68,80.87,36.74,96.75,15.85,80.87,38.54,31.89,0.0,0.0,118.0,Moderate,1,3,0,Winter,0.5076295933567141
Ahmedabad,2015-01-09,48.57,95.68,29.16,31.0,48.0,15.85,29.16,58.68,25.75,0.0,0.0,118.0,Moderate,1,4,0,Winter,0.5076295933567141
Ahmedabad,2015-01-10,48.57,95.68,9.89,7.04,0.0,15.85,0.89,8.29,4.55,0.0,0.0,118.0,Moderate,1,5,1,Winter,0.5076295933567141
Ahmedabad,2015-01-11,48.57,95.68,132.07,55.8,24.53,15.85,132.07,25.03,6.79,0.0,0.0,118.0,Moderate,1,6,1,Winter,0.5076295933567141
Ahmedabad,2015-01-12,48.57,95.68,52.04,40.67,90.24,15.85,52.04,51.84,45.89,2.41,0.03,118.0,Moderate,1,0,0,Winter,0.5076295933567141
Ahmedabad,2015-01-13,48.57,95.68,48.82,44.2,87.09,15.85,48.82,68.21,35.16,9.45,13.35,118.0,Moderate,1,1,0,Winter,0.5076295933567141
Ahmedabad,2015-01-14,48.57,95.68,19.2,27.86,33.05,15.85,19.2,52.65,20.96,2.16,2.26,118.0,Moderate,1,2,0,Winter,0.5076295933567141
Ahmedabad,2015-01-15,48.57,95.68,0.6,16.96,16.6,15.85,0.6,28.89,47.63,0.14,0.04,118.0,Moderate,1,3,0,Winter,0.5076295933567141
Ahmedabad,2015-01-16,48.57,95.68,1.63,21.72,22.86,15.85,1.63,38.27,46.03,0.35,0.05,118.0,Moderate,1,4,0,Winter,0.5076295933567141
Ahmedabad,2015-01-17,48.57,95.68,11.44,24.73,34.75,15.85,11.44,49.5,52.24,0.68,0.0,118.0,Moderate,1,5,1,Winter,0.5076295933567141
Ahmedabad,2015-01-18,48.57,95.68,6.1,25.77,29.57,15.85,6.1,48.43,53.49,0.74,0.21,118.0,Moderate,1,6,1,Winter,0.5076295933567141
Ahmedabad,2015-01-19,48.57,95.68,2.51,26.88,27.45,15.85,2.51,50.03,49.48,0.26,0.02,118.0,Moderate,1,0,0,Winter,0.5076295933567141
Ahmedabad,2015-01-20,48.57,95.68,7.92,26.8,32.4,15.85,7.92,58.87,56.37,0.24,0.01,118.0,Moderate,1,1,0,Winter,0.5076295933567141
Ahmedabad,2015-01-21,48.57,95.68,9.52,33.56,39.28,15.85,9.52,106.93,48.75,0.33,0.0,118.0,Moderate,1,2,0,Winter,0.5076295933567141
Ahmedabad,2015-01-22,48.57,95.68,9.05,17.51,22.33,15.85,9.05,23.71,42.22,0.0,0.0,118.0,Moderate,1,3,0,Winter,0.5076295933567141
Ahmedabad,2015-01-23,48.57,95.68,22.53,27.96,47.79,15.85,22.53,39.19,32.92,0.39,0.0,118.0,Moderate,1,4,0,Winter,0.5076295933567141
Ahmedabad,2015-01-24,48.57,95.68,2.03,20.39,21.4,15.85,2.03,40.07,32.49,0.47,0.7,118.0,Moderate,1,5,1,Winter,0.5076295933567141
Ahmedabad,2015-01-25,48.57,95.68,1.42,20.43,20.19,15.85,1.42,58.41,39.26,0.01,0.0,118.0,Moderate,1,6,1,Winter,0.5076295933567141
Ahmedabad,2015-01-26,48.57,95.68,2.27,21.16,21.81,15.85,2.27,43.73,39.83,0.06,0.0,118.0,Moderate,1,0,0,Winter,0.5076295933567141
Ahmedabad,2015-01-27,48.57,95.68,2.19,21.7,23.26,15.85,2.19,43.28,41.1,0.02,0.0,118.0,Moderate,1,1,0,Winter,0.5076295933567141
Ahmedabad,2015-01-28,73.24,95.68,5.72,21.11,25.84,15.85,5.72,36.52,62.42,0.03,0.01,118.0,Moderate,1,2,0,Winter,0.7654682194244541
Ahmedabad,2015-01-29,83.13,95.68,6.93,28.71,33.72,15.85,6.93,49.52,59.76,0.02,0.0,209.0,Poor,1,3,0,Winter,0.868833602959515
Ahmedabad,2015-01-30,79.84,95.68,13.85,28.68,41.08,15.85,13.85,48.49,97.07,0.04,0.0,328.0,Very Poor,1,4,0,Winter,0.834448151813878
Ahmedabad,2015-01-31,94.52,95.68,24.39,32.66,52.61,15.85,24.39,67.39,111.33,0.24,0.01,514.0,Severe,1,5,1,Winter,0.9878762438558084
Ahmedabad,2015-02-01,135.99,95.68,43.48,42.08,84.57,15.85,43.48,75.23,102.7,0.4,0.04,782.0,Severe,2,6,1,Winter,1.4213001523693547
Ahmedabad,2015-02-02,178.33,95.68,54.56,35.31,72.8,15.85,54.56,55.04,107.38,0.46,0.06,914.0,Severe,2,0,0,Winter,1.8638168701524156
Ahmedabad,2015-02-03,139.7,95.68,30.61,28.4,56.73,15.85,30.61,33.79,73.6,0.17,0.03,660.0,Severe,2,1,0,Winter,1.4600752355761366
Ahmedabad,2015-02-04,80.65,95.68,2.37,22.83,24.0,15.85,2.37,25.73,47.3,0.0,0.0,294.0,Poor,2,2,0,Winter,0.8429138707889436
Ahmedabad,2015-02-05,58.36,95.68,2.6,21.39,23.31,15.85,2.6,32.66,53.54,0.0,0.0,149.0,Moderate,2,3,0,Winter,0.609949826401026
Ahmedabad,2015-02-06,79.29,95.68,1.16,26.94,26.83,15.85,1.16,67.41,59.3,0.0,0.0,190.0,Moderate,2,4,0,Winter,0.8286998241147594
Ahmedabad,2015-02-07,88.7,95.68,7.29,31.32,37.73,15.85,7.29,80.09,44.76,0.0,0.0,247.0,Poor,2,5,1,Winter,0.9270484852942257
Ahmedabad,2015-02-08,74.28,95.68,8.92,27.3,33.42,15.85,8.92,54.28,47.42,0.0,0.0,379.0,Very Poor,2,6,1,Winter,0.7763377845282422
Ahmedabad,2015-02-09,113.93,95.68,4.32,24.27,26.86,15.85,4.32,48.73,39.94,0.02,0.0,341.0,Very Poor,2,0,0,Winter,1.1907399541101593
Ahmedabad,2015-02-10,105.39,95.68,1.41,18.21,18.75,15.85,1.41,35.91,56.15,0.0,0.0,256.0,Poor,2,1,0,Winter,1.101484102200208
Ahmedabad,2015-02-11,66.52,95.68,6.34,23.8,28.24,15.85,6.34,66.58,53.14,9.7,9.63,388.0,Very Poor,2,2,0,Winter,0.6952341064461317
Ahmedabad,2015-02-12,65.04,95.68,14.19,30.1,44.21,15.85,14.19,65.91,31.88,7.72,17.46,288.0,Poor,2,3,0,Winter,0.679765879183049
Ahmedabad,2015-02-13,103.36,95.68,18.18,39.56,57.33,15.85,18.18,80.43,40.11,11.29,24.35,510.0,Severe,2,4,0,Winter,1.0802675472380063
Ahmedabad,2015-02-14,177.33,95.68,37.49,47.58,77.85,15.85,37.49,99.72,36.47,17.0,52.66,761.0,Severe,2,5,1,Winter,1.8533653652449273
Ahmedabad,2015-02-15,113.25,95.68,15.55,30.5,44.87,15.85,15.55,69.71,33.78,10.47,28.53,475.0,Severe,2,6,1,Winter,1.183632930773067
Ahmedabad,2015-02-16,99.7,95.68,19.85,28.1,47.31,15.85,19.85,73.23,30.57,10.28,31.25,536.0,Severe,2,0,0,Winter,1.0420150392765986
Ahmedabad,2015-02-17,80.61,95.68,15.96,21.04,35.67,15.85,15.96,54.7,36.2,8.14,18.75,479.0,Severe,2,1,0,Winter,0.8424958105926441
Ahmedabad,2015-02-18,100.79,95.68,16.24,25.93,41.91,15.85,16.24,43.11,37.43,10.0,32.41,592.0,Severe,2,2,0,Winter,1.0534071796257611
Ahmedabad,2015-02-19,107.99,95.68,11.25,30.09,40.47,15.85,11.25,84.86,31.94,9.2,24.03,427.0,Severe,2,3,0,Winter,1.1286580149596779
Ahmedabad,2015-02-20,140.29,95.68,33.84,36.14,68.85,15.85,33.84,101.53,40.98,20.12,43.51,588.0,Severe,2,4,0,Winter,1.4662416234715547
Ahmedabad,2015-02-21,239.96,95.68,61.95,46.25,106.92,15.85,61.95,84.87,33.55,22.14,53.98,1141.0,Severe,2,5,1,Winter,2.507943117600929
Ahmedabad,2015-02-22,142.96,95.68,45.45,48.21,92.32,15.85,45.45,62.96,34.77,7.35,22.4,669.0,Severe,2,6,1,Winter,1.494147141574549
Ahmedabad,2015-02-23,238.41,95.68,77.7,55.07,131.32,15.85,77.7,89.07,37.3,50.61,163.64,1247.0,Severe,2,0,0,Winter,2.4917432849943215
Ahmedabad,2015-02-24,118.72,95.68,12.56,32.01,42.56,15.85,12.56,61.54,38.8,16.89,46.52,411.0,Severe,2,1,0,Winter,1.240802662617029
Ahmedabad,2015-02-25,52.99,95.68,2.23,10.45,10.39,15.85,2.23,32.76,67.25,3.85,11.39,292.0,Poor,2,2,0,Winter,0.553825245047813
Ahmedabad,2015-02-26,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118.0,Moderate,2,3,0,Winter,0.5076295933567141
Ahmedabad,2015-02-27,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118.0,Moderate,2,4,0,Winter,0.5076295933567141
Ahmedabad,2015-02-28,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118.0,Moderate,2,5,1,Winter,0.5076295933567141
Ahmedabad,2015-03-01,61.12,95.68,3.58,16.81,20.92,15.85,3.58,28.44,30.48,2.69,1.58,118.0,Moderate,3,6,1,Summer,0.6387959799456941
Ahmedabad,2015-03-02,60.78,95.68,9.07,18.21,27.34,15.85,9.07,29.48,34.75,2.05,0.55,189.0,Moderate,3,0,0,Summer,0.6352424682771481
Ahmedabad,2015-03-03,91.83,95.68,12.99,28.71,40.76,15.85,12.99,39.71,38.46,2.69,1.74,408.0,Severe,3,1,0,Summer,0.9597616956546645
Ahmedabad,2015-03-04,93.88,95.68,18.21,29.38,47.01,15.85,18.21,62.75,46.79,5.21,2.55,383.0,Very Poor,3,2,0,Summer,0.9811872807150158
Ahmedabad,2015-03-05,173.01,95.68,48.44,42.27,90.73,15.85,48.44,78.76,59.39,9.72,9.96,780.0,Severe,3,3,0,Summer,1.808214864044577
Ahmedabad,2015-03-06,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118.0,Moderate,3,4,0,Summer,0.5076295933567141
Ahmedabad,2015-03-07,105.45,95.68,2.5,16.1,18.66,15.85,2.5,29.29,69.9,17.77,5.75,118.0,Moderate,3,5,1,Summer,1.1021111924946572
Ahmedabad,2015-03-08,71.56,95.68,3.51,16.83,20.32,15.85,3.51,30.28,57.16,3.95,8.01,190.0,Moderate,3,6,1,Summer,0.7479096911798736
Ahmedabad,2015-03-09,119.8,95.68,4.13,24.07,27.9,15.85,4.13,50.35,50.49,4.85,12.15,233.0,Poor,3,0,0,Summer,1.2520902879171165
Ahmedabad,2015-03-10,106.71,95.68,5.39,25.59,30.51,15.85,5.39,38.85,60.17,5.58,14.17,297.0,Poor,3,1,0,Summer,1.1152800886780927
Ahmedabad,2015-03-11,118.49,95.68,4.11,28.94,31.83,15.85,4.11,54.2,53.61,7.9,21.32,330.0,Very Poor,3,2,0,Summer,1.2383988164883066
Ahmedabad,2015-03-12,106.01,95.68,4.28,27.31,30.54,15.85,4.28,70.29,40.91,9.45,15.54,252.0,Poor,3,3,0,Summer,1.1079640352428508
Ahmedabad,2015-03-13,97.34,95.68,3.67,21.58,24.62,15.85,3.67,64.39,45.69,5.61,15.02,244.0,Poor,3,4,0,Summer,1.0173494876949258
Ahmedabad,2015-03-14,83.92,95.68,6.42,25.03,30.8,15.85,6.42,67.53,34.94,8.24,21.47,234.0,Poor,3,5,1,Summer,0.8770902918364308
Ahmedabad,2015-03-15,49.51,95.68,3.1,14.16,16.15,15.85,3.1,48.33,37.95,4.34,11.34,219.0,Poor,3,6,1,Summer,0.5174540079697533
Ahmedabad,2015-03-16,30.76,95.68,2.72,14.14,16.98,15.85,2.72,43.62,54.78,3.58,9.38,118.0,Moderate,3,0,0,Summer,0.3214882909543448
Ahmedabad,2015-03-17,50.29,95.68,5.34,29.84,33.28,15.85,5.34,59.23,45.44,5.45,15.12,231.0,Poor,3,1,0,Summer,0.5256061817975942
Ahmedabad,2015-03-18,57.69,95.68,25.36,29.48,54.79,15.85,25.36,58.33,52.87,9.55,32.11,286.0,Poor,3,2,0,Summer,0.6029473181130087
Ahmedabad,2015-03-19,105.06,95.68,46.24,37.05,82.23,15.85,46.24,53.62,45.65,20.89,75.36,883.0,Severe,3,3,0,Summer,1.0980351055807367
Ahmedabad,2015-03-20,94.1,95.68,22.14,36.53,57.49,15.85,22.14,61.31,46.77,17.5,52.01,720.0,Severe,3,4,0,Summer,0.9834866117946632
Ahmedabad,2015-03-21,111.89,95.68,22.25,43.29,64.53,15.85,22.25,66.44,50.57,18.03,56.86,570.0,Severe,3,5,1,Summer,1.1694188840988828
Ahmedabad,2015-03-22,108.59,95.68,25.38,39.34,63.01,15.85,25.38,75.8,46.68,15.78,48.41,589.0,Severe,3,6,1,Summer,1.134928917904171
Ahmedabad,2015-03-23,130.76,95.68,45.61,41.03,85.76,15.85,45.61,65.77,41.58,24.12,85.31,818.0,Severe,3,0,0,Summer,1.3666387817031898
Ahmedabad,2015-03-24,143.55,95.68,27.3,31.15,57.16,15.85,27.3,50.98,35.38,18.61,72.78,737.0,Severe,3,1,0,Summer,1.5003135294699674
Ahmedabad,2015-03-25,165.07,95.68,23.83,34.48,57.71,15.85,23.83,64.32,43.79,29.14,64.01,585.0,Severe,3,2,0,Summer,1.7252299150791186
Ahmedabad,2015-03-26,166.85,95.68,17.93,43.3,60.07,15.85,17.93,79.71,53.44,24.09,67.38,616.0,Severe,3,3,0,Summer,1.743833593814448
Ahmedabad,2015-03-27,147.38,95.68,6.4,35.82,40.22,15.85,6.4,46.89,17.94,14.23,41.88,437.0,Severe,3,4,0,Summer,1.540342793265648
Ahmedabad,2015-03-28,158.25,95.68,5.86,27.89,32.65,15.85,5.86,142.36,38.54,13.67,21.24,321.0,Very Poor,3,5,1,Summer,1.6539506516100475
Ahmedabad,2015-03-29,237.76,95.68,4.99,21.8,25.37,15.85,4.99,96.28,39.77,8.68,14.95,372.0,Very Poor,3,6,1,Summer,2.484949806804454
Ahmedabad,2015-03-30,133.37,95.68,3.88,17.99,21.02,15.85,3.88,57.34,39.66,5.76,11.74,339.0,Very Poor,3,0,0,Summer,1.393917209511735
Ahmedabad,2015-03-31,133.3,95.68,6.52,20.0,26.18,15.85,6.52,51.58,59.03,9.94,21.13,339.0,Very Poor,3,1,0,Summer,1.3931856041682107
Ahmedabad,2015-04-01,96.04,95.68,3.8,20.07,23.46,15.85,3.8,62.42,46.61,7.54,13.44,324.0,Very Poor,4,2,0,Summer,1.003762531315191
Ahmedabad,2015-04-02,77.69,95.68,5.24,18.87,23.06,15.85,5.24,100.48,27.14,9.49,11.77,222.0,Poor,4,3,0,Summer,0.8119774162627778
Ahmedabad,2015-04-03,53.07,95.68,4.17,13.82,17.45,15.85,4.17,40.36,21.76,4.47,6.94,169.0,Moderate,4,4,0,Summer,0.5546613654404121
Ahmedabad,2015-04-04,63.11,95.68,5.63,15.5,18.49,15.85,5.63,38.21,4.72,5.2,8.17,220.0,Poor,4,5,1,Summer,0.6595944747115962
Ahmedabad,2015-04-05,156.76,95.68,3.92,16.7,20.97,15.85,3.92,26.32,37.11,3.88,10.78,118.0,Moderate,4,6,1,Summer,1.6383779092978896
Ahmedabad,2015-04-06,120.96,95.68,4.23,20.86,25.02,15.85,4.23,35.54,35.66,6.05,15.85,303.0,Very Poor,4,0,0,Summer,1.2642140336098031
Ahmedabad,2015-04-07,138.63,95.68,5.65,25.47,30.67,15.85,5.65,87.43,29.77,11.25,24.67,314.0,Very Poor,4,1,0,Summer,1.448892125325124
Ahmedabad,2015-04-08,144.36,95.68,15.82,30.69,46.1,15.85,15.82,66.39,27.34,17.22,49.56,378.0,Very Poor,4,2,0,Summer,1.508779248445033
Ahmedabad,2015-04-09,85.03,95.68,3.3,26.7,27.41,15.85,3.3,59.16,35.89,7.58,29.19,415.0,Severe,4,3,0,Summer,0.8886914622837431
